"","name1","addr1","phone1"
"124","삼선 (삼선제3)"," 서울 성북구 지봉로 179-1 ","02-923-2505"
"125","삼선 (삼선제4)"," 서울 성북구 보문로13길 20 ","02-929-2505"
"126","삼선 (삼선제5)"," 서울 성북구 동소문로 120 ","02-923-2581"
"127","삼선 (삼선)"," 서울 성북구 보문로29길 101 ","02-765-3815"
"128","북악 (본점)"," 서울 성북구 아리랑로5길 58 ","02-923-6688"
"129","북악 (한신.한진)"," 서울 성북구 성북로4길 52 ","02-928-1751"
"130","안암동 (본점)"," 서울 성북구 인촌로 23-1 ","02-928-4681"
"131","안암동 (삼익아파트)"," 서울 성북구 안암로9가길 2 ","02-921-2277"
"132","정릉 (본점)"," 서울 성북구 정릉로 302 ","02-914-6008"
"133","정릉 (돈암동)"," 서울 성북구 동소문로34길 25 ","02-929-7615"
"134","한양 (본점)"," 서울 성북구 보국문로 8 ","02-914-5425"
"135","한양 (청수)"," 서울 성북구 보국문로 169 ","02-913-7001"
"136","성북제일 (본점)"," 서울특별시 성북구 길음로 20 ","02-913-1282"
"137","길음중앙 (본점)"," 서울 성북구 길음로 74 ","02-912-2027"
"138","종암동 (본점)"," 서울 성북구 종암로21길 25 ","02-928-4851"
"139","새종암 (본점)"," 서울특별시 성북구 종암로 98-7 ","02-913-5257"
"140","새종암 (제1)"," 서울 성북구 종암로 122 ","02-941-5258"
"141","장위1동 (본점)"," 서울 성북구 장월로 119 ","02-915-7580"
"142","장위2동 (본점)"," 서울 성북구 장위로 131 ","02-915-2836"
"143","장위2동 (돌곶이)"," 서울 성북구 화랑로 259 ","02-912-5577"
"144","장위3동 (본점)"," 서울 성북구 장위로 179-1 ","02-915-4315"
"145","석관동 (본점)"," 서울 성북구 돌곶이로 39 ","02-966-9733"
"146","성신 (본점)"," 서울 성북구 보문로30길 50 ","02-923-9989"
"147","월곡 (본점)"," 서울 성북구 화랑로11길 36 ","02-913-2695"
"148","월곡 (율곡)"," 서울 성북구 오패산로 75 ","02-912-4674"
"149","성북 (본점)"," 서울 성북구 성북로 21-1 ","02-762-7143"
"150","서울개인택시조합 (성북)"," 서울 성북구 보문로29길 17 ","02-928-5400"
"151","광진자양 (본점)"," 서울특별시 광진구 뚝섬로 476-11 ","02-498-3300"
"152","광진자양 (건대역)"," 서울 광진구 아차산로30길 25 ","02-498-0100"
"153","화양동 (본점)"," 서울 광진구 군자로 20 ","02-463-4234"
"154","송정.군자 (본점)"," 서울 광진구 군자로 95-1 ","02-466-6296"
"155","중곡1동 (본점)"," 서울특별시 광진구 면목로 110 ","02-466-2611"
"156","중곡2.4동 (본점)"," 서울특별시 광진구 영화사로 17 ","02-444-1735"
"157","중곡2.4동 (중곡2동)"," 서울 광진구 용마산로7길 41 ","02-456-2195"
"158","중곡3동 (본점)"," 서울 광진구 면목로 159 ","02-467-5574"
"159","능동 (본점)"," 서울 광진구 천호대로112길 18 ","02-444-3035"
"160","구의동 (본점)"," 서울 광진구 구의로 9 ","02-454-2455"
"161","구의.광장 (본점)"," 서울특별시 광진구 광나루로 535 ","02-447-4829"
"162","구의.광장 (광장동)"," 서울 광진구 광장로 76 ","02-446-4768"
"163","구의.광장 (아차산역)"," 서울 광진구 자양로 260 ","02-455-4829"
"164","자양1동 (본점)"," 서울특별시 광진구 자양로13길 51 ","02-444-8669"
"165","자양2.3동 (본점)"," 서울 광진구 자양로5길 32 ","02-458-1510"
"166","호텔롯데 (잠실월드)"," 서울시 송파구 잠실동 ","02-411-7163"
"167","삼성에스디에스 (본점)"," 서울 송파구 올림픽로35길 125 ","02-6155-0079"
"168","풍납동 (본점)"," 서울 송파구 풍성로 40 ","02-478-7015"
"169","풍납동 (제일)"," 서울 송파구 풍성로25길 38 ","02-477-2060"
"170","마천 (본점)"," 서울 송파구 마천로45길 13 ","02-400-4834"
"171","송파중앙 (본점)"," 서울 송파구 마천로 83 ","02-402-3432"
"172","오성 (본점)"," 서울 송파구 동남로 297 ","02-400-2033"
"173","가락 (본점)"," 서울특별시 송파구 양재대로62길 23 ","02-408-9831"
"174","잠실 (본점)"," 서울 송파구 석촌호수로 70 ","02-423-0161"
"175","잠실 (잠실)"," 서울 송파구 오금로 20 ","02-423-6492"
"176","잠실 (삼전)"," 서울 송파구 삼학사로 67 ","02-3431-6398"
"177","강동수산 (본점)"," 서울특별시 송파구 양재대로 932 ","02-448-3738"
"178","강동수산 (가락몰점)"," 서울 송파구 양재대로 932 ","02-6978-0260"
"179","서울아산병원 (본점)"," 서울특별시 송파구 올림픽로43길 88 ","02-3010-7842"
"180","서울개인택시조합 (본점)"," 서울 송파구 올림픽로 319 ","02-423-5087"
"181","서울개인택시조합 (송파)"," 서울 송파구 송파대로 167 ","02-404-3223"
"182","송파 (본점)"," 서울 송파구 오금로31가길 7 ","02-418-8478"
"183","송파 (장지)"," 서울 송파구 송파대로 100 ","02-402-8342"
"184","녹번동 (본점)"," 서울 은평구 은평로 201 ","02-383-5965"
"185","녹번동 (제1분사무소)"," 서울 은평구 진흥로12길 9 ","02-383-5968"
"186","서울은평 (본점)"," 서울 은평구 불광로 58 ","02-385-6300"
"187","서울은평 (대조동지점)"," 서울 은평구 통일로69길 31 ","02-387-4465"
"188","갈현동 (본점)"," 서울 은평구 갈현로 264 ","02-358-0511"
"189","갈현동 (제1분사무소)"," 서울 은평구 통일로87길 13 ","02-387-4641"
"190","구산동 (본점)"," 서울 은평구 갈현로 114 ","02-358-1784"
"191","구산동 (제1)"," 서울 은평구 서오릉로 201 ","02-358-4524"
"192","e-푸른 (본점)"," 서울 은평구 응암로 178-1 ","02-303-5111"
"193","e-푸른 (응암1동)"," 서울 은평구 은평로 107 ","02-359-3808"
"194","e-푸른 (응암2동)"," 서울 은평구 응암로22길 11 ","02-303-2026"
"195","은평 (본점)"," 서울 은평구 은평로 26 ","02-303-1161"
"196","은평 (신사)"," 서울 은평구 갈현로1길 21 ","02-358-7781"
"197","우리들 (본점)"," 서울 은평구 수색로 268 ","02-372-7273"
"198","우리들 (증산)"," 서울 은평구 증산서길 103 ","02-373-7111"
"199","우리들 (새절역)"," 서울 은평구 증산로 387-1 ","02-375-3141"
"200","연신내 (본점)"," 서울특별시 은평구 연서로26길 10 ","02-385-5650"
"201","연신내 (불광동)"," 서울 은평구 연서로 265 ","02-359-3794"
"202","은평뉴타운 (본점)"," 서울 은평구 진관2로 60 ","02-386-6250"
"203","은평뉴타운 (상림마을)"," 서울 은평구 진관4로 17 ","02-386-6201"
"204","서울개인택시조합 (은평)"," 서울 은평구 증산로17길 4 ","02-356-5800"
"205","염창동 (본점)"," 서울특별시 강서구 양천로 699 ","02-3664-9166"
"206","화곡 (본점)"," 서울 강서구 까치산로4길 3 ","02-2604-4706"
"207","화곡 (화곡1동)"," 서울 강서구 강서로17길 118 ","02-2693-7920"
"208","화곡 (화곡2.4동)"," 서울 강서구 곰달래로53길 26 ","02-2698-4900"
"209","가양동 (본점)"," 서울 강서구 강서로 511 ","02-3661-8555"
"210","우장산 (본점)"," 서울 강서구 강서로 297 ","02-2664-5030"
"211","우장산 (화곡)"," 서울 강서구 강서로 213 ","02-2605-0943"
"212","등촌동 (본점)"," 서울 강서구 등촌로53길 10 ","02-2651-0999"
"213","등촌동 (마곡)"," 서울 강서구 강서로 385 ","02-2654-2662"
"214","서울개인택시조합 (강서)"," 서울 강서구 금낭화로 63 ","02-3661-3003"
"215","삼성엔지니어링 (본점)"," 서울 강동구 상일동 ","02-2053-3377"
"216","서울개인택시조합 (강동)"," 서울 강동구 명일로 230 ","02-426-2933"
"217","서울강동 (본점)"," 서울 강동구 천호대로 1461 ","02-429-1183"
"218","서울강동 (고덕)"," 서울 강동구 동남로82길 107 ","02-429-1600"
